rk,player,team,str
533,Grace Ysidora,University of Washington,13.69
534,Klara Supejova,Eastern Michigan University,13.67
535,Donika Bashota,Washington State University,13.55
536,Kelly Drew,University of Louisiana,13.49
537,Augustina Serio,University of Texas at Arlington,13.48
538,Flavia Araujo,University of Arkansas,13.48
539,Iryna Kostirko,Boston University,13.46
540,Dominique Dulski,University of New Mexico,13.45
541,Audrey Ann Blakely,Univ. of Pittsburgh,13.45
542,Meghan Cassens,Iowa State University,13.41
543,Kristin Buth,San Diego State University,13.40
544,Niriantsa Rasolomalala,Georgia State University,13.39
545,Juliette Legendre,University of Nevada,13.17
546,Yang Pang,University of Arkansas,13.16
547,Julia Kral,McNeese State University,13.11
548,Maria Avgerinos,"University of Wisconsin, Madison",13.05
549,Teal Vosburgh,Boise State University,12.99
550,Katherine Yau,Dartmouth College,12.92
551,Sasha Carter,Montana,12.89
552,Anna Woosley,"Univ. of Massachusetts, Amherst",12.81
553,Sherry Li,Yale University,12.75
554,Jerricka Boone,University of Illinois,12.64
555,Emilia Granstrom,Western Kentucky University,12.58
556,Kathryn Hughes,University of Memphis,12.55
557,Marta Sramkova,Louisiana Tech University,12.47
558,Marie Aubert,Nicholls State University,12.47
559,Morven McCulloch,University of Iowa,12.43
560,Nicole Shakhnazarova,Towson University,12.40
561,Aria Lambert,University of Minnesota,12.29
562,Morgan Chumney,University of Oklahoma,12.25
563,Tamara Slijepcevic,Arkansas State University,12.19
564,Sansitha Nandakumar,Virginia Tech,12.19
565,Rocio Martin,University of Houston,12.17
566,Karen Forman,Wake Forest University,12.12
567,Megen Cochran,University of South Carolina,12.10
568,Alexandra Clark,"Univ. of Missouri, Columbia",12.10
569,Davina Meza,UTEP,11.99
570,Maria Groener,College of William and Mary,11.93
571,Katia Blik,Penn State University,11.91
572,Julia Schroeder,Dartmouth College,11.90
573,Toby Miclat,Brigham Young University,11.83
574,Astrid Gehre,University of Texas at Arlington,11.79
575,Cortney Cesarini,University of Central Florida,11.72
576,Luca Pump,Wichita State University,11.63
577,Maider Martin,Texas A&M Corpus-Christi,11.55
578,Breanna Bachini,Syracuse University,11.53
579,Aishwarya Agrawal,Fresno State,11.43
580,Courtney Meredith,Wake Forest University,11.37
581,Chelby Cooke,Santa Clara University,11.36
582,Gina Li,Rutgers University,11.31
583,Shannon Murdy,Indiana University-Bloomington,11.28
584,Criss Rodriguez,Cal State Northridge,11.28
585,Dorottya Jonas,Univ. of Wyoming,11.26
